gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
GIMAP2,760,2364,1540,1467,889,330,713,436,313,278,271,256,1661,984,1517,253
FAM78A,869,3100,2416,1924,1123,314,756,822,452,138,395,260,2600,1508,2039,373
SP110,618,1130,1024,995,621,226,536,387,220,144,266,219,699,861,608,191
RP11-54O7.17,20,16,2,9,1,23,138,841,353,300,85,74,16,17,5,383
IL16,2041,7205,5159,4876,2641,560,2143,1977,608,337,1027,614,4430,3229,2846,775
SERPINH1,1362,2109,701,4319,560,6234,14628,4911,6783,8852,2990,8317,1618,1367,514,9380
EVI2B,2176,7060,5889,6254,2542,808,1767,2345,650,560,1059,926,4398,3308,6146,1319
RTL1,0,0,0,0,175,57,0,0,0,0,0,0,0,916,0,0
MSX1,20,23,4,8,3,32,53,175,1184,1131,42,167,22,12,1,387
ZNF165,47,51,15,53,25,63,288,384,108,161,150,348,81,42,17,205
AC139100.4,20,15,12,23,2,15,138,126,36,52,46,74,14,8,6,106
ZNF683,143,1516,1287,832,348,12,126,88,47,4,98,50,1476,739,200,33
RP11-359E10.1,8,16,4,31,3,214,107,50,69,78,19,149,11,18,2,166
RND3,1056,1021,535,1763,984,4418,8482,2607,2656,3510,1621,7037,1204,721,331,4758
RP5-1091N2.9,39,160,84,89,44,16,41,40,11,4,15,15,69,64,61,21
WFDC1,11,16,2,6,6,13,89,104,149,82,61,20,13,6,3,50
ARC,30,20,4,13,15,20,80,194,778,1266,66,288,22,15,2,370
RFPL1S,37,64,64,79,30,13,10,21,8,8,12,5,47,30,55,11
P2RY13,2409,2956,2403,2326,405,314,797,673,121,51,185,235,1357,1399,2033,334
RND1,145,74,26,31,32,29,123,1497,2548,8353,187,347,60,38,17,2835
ZNF619,154,226,239,254,100,91,131,114,56,39,55,94,224,203,186,52
RCSD1,2313,5177,4117,3754,1820,703,1606,1819,1447,307,947,693,3124,2798,3487,993
MT1M,30,49,8,19,12,52,400,50,354,73,172,160,58,14,6,277
