"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"R-HSA-9006934...1","MEtan","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","12/63","494/9232",0.00010550068823722,0.0361867360653664,0.0333160068117536,"5154/3399/3728/7058/23543/3911/857/5771/10787/3397/4734/5603",12,"Reactome"
"hsa04510...2","MEtan","hsa04510","Focal adhesion","7/42","193/6653",0.000176754915599016,0.0328764143014169,0.0256759772133307,"5154/10398/7058/3911/4638/857/55742",7,"KEGG"
"hsa04927...3","MEtan","hsa04927","Cortisol synthesis and secretion","4/42","57/6653",0.00042540458444566,0.0377495172823721,0.0294817961797812,"468/112/5332/183",4,"KEGG"
"hsa04270...4","MEtan","hsa04270","Vascular smooth muscle contraction","5/42","117/6653",0.000781034901472872,0.0377495172823721,0.0294817961797812,"10398/112/4638/5332/183",5,"KEGG"
"hsa04611...5","MEtan","hsa04611","Platelet activation","5/42","118/6653",0.00081181757596499,0.0377495172823721,0.0294817961797812,"112/4638/5742/5603/5332",5,"KEGG"
"hsa04371...6","MEtan","hsa04371","Apelin signaling pathway","5/42","127/6653",0.00113136680111627,0.0403006859254354,0.0314742199078104,"112/4638/5054/5332/8862",5,"KEGG"
"hsa04261","MEtan","hsa04261","Adrenergic signaling in cardiomyocytes","5/42","131/6653",0.00130002212662695,0.0403006859254354,0.0314742199078104,"468/112/5603/5332/183",5,"KEGG"
"hsa04912","MEtan","hsa04912","GnRH signaling pathway","4/42","83/6653",0.00175776733632766,0.0405544502257712,0.0316724059488196,"468/112/5603/5332",4,"KEGG"
"hsa04072...9","MEtan","hsa04072","Phospholipase D signaling pathway","5/42","141/6653",0.00180280745945567,0.0405544502257712,0.0316724059488196,"5154/112/9266/5332/183",5,"KEGG"
"hsa04022...10","MEtan","hsa04022","cGMP-PKG signaling pathway","5/42","146/6653",0.00210196439653321,0.0405544502257712,0.0316724059488196,"468/10398/112/4638/5332",5,"KEGG"
"hsa04925...11","MEtan","hsa04925","Aldosterone synthesis and secretion","4/42","88/6653",0.00218034678633179,0.0405544502257712,0.0316724059488196,"468/112/5332/183",4,"KEGG"
"GO:0003779...12","MEtan","GO:0003779","actin binding","13/89","439/18410",1.83117109896551e-07,3.99195299574481e-05,3.35393443389472e-05,"4641/11034/2059/22998/6840/9026/4638/1627/55742/2036/22837/11346/667",13,"GO"
"GO:0140678","MEtan","GO:0140678","molecular function inhibitor activity","4/89","59/18410",0.000189586154897183,0.0206648908837929,0.0173621005011104,"3399/857/3397/4734",4,"GO"
"R-HSA-449147...14","MEturquoise","R-HSA-449147","Signaling by Interleukins","77/702","428/9232",3.77359151717898e-13,4.8830274232296e-10,3.81728573474631e-10,"3552/351/5516/7525/3320/3383/8835/4609/3312/6950/7314/3572/1901/6464/3656/5718/6809/1398/6196/4312/4791/4790/3977/92610/9655/2920/1026/3313/9173/604/8878/5970/3569/5515/5606/5519/9021/3554/3725/9987/5599/6095/2309/57162/5706/375/3553/9261/5782/7534/7334/301/3556/2308/5717/1386/3929/6347/5290/6774/5700/4170/5898/1848/3716/5781/3566/4792/5604/1846/3576/5908/7132/58480/1052/2534/414062",77,"Reactome"
"R-HSA-166016...15","MEturquoise","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","33/702","143/9232",5.14542259603263e-09,3.32908841963311e-06,2.60250058673019e-06,"351/5516/329/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/2243/57162/7323/9261/1785/7334/1386/3929/10010/1848/5781/4792/2244/5604/1846/2266/3665",33,"Reactome"
"R-HSA-168898...16","MEturquoise","R-HSA-168898","Toll-like Receptor Cascades","35/702","163/9232",1.31208679664596e-08,5.22550936390828e-06,4.08501952226133e-06,"351/5516/329/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/2243/57162/7323/9261/1785/7334/1513/1386/3929/10010/1848/5781/4792/2244/5604/1846/2266/3665/338",35,"Reactome"
"R-HSA-6785807","MEturquoise","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","26/702","100/9232",1.61530428559761e-08,5.22550936390828e-06,4.08501952226133e-06,"3552/3320/3383/4609/3312/1901/4312/9655/1026/604/3569/9021/6095/2309/3553/301/2308/3929/6347/6774/4170/3716/3566/3576/58480/1052",26,"Reactome"
"R-HSA-166166","MEturquoise","R-HSA-166166","MyD88-independent TLR4 cascade ","27/702","109/9232",2.62749596231483e-08,5.51675525394349e-06,4.31269974704278e-06,"351/5516/329/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/7323/9261/7334/1386/10010/1848/5781/4792/5604/1846/3665",27,"Reactome"
"R-HSA-937061","MEturquoise","R-HSA-937061","TRIF(TICAM1)-mediated TLR4 signaling ","27/702","109/9232",2.62749596231483e-08,5.51675525394349e-06,4.31269974704278e-06,"351/5516/329/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/7323/9261/7334/1386/10010/1848/5781/4792/5604/1846/3665",27,"Reactome"
"R-HSA-3371497","MEturquoise","R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand","18/702","53/9232",2.98433437230328e-08,5.51675525394349e-06,4.31269974704278e-06,"3337/55466/3305/3303/3304/3301/10383/3326/3320/84617/3312/10963/7846/140735/1783/830/2289/7277",18,"Reactome"
"R-HSA-168164","MEturquoise","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","26/702","104/9232",3.88552589732781e-08,6.28483813892774e-06,4.91314524648951e-06,"351/5516/329/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/7323/9261/7334/1386/10010/1848/4792/5604/1846/3665",26,"Reactome"
"R-HSA-166520","MEturquoise","R-HSA-166520","Signaling by NTRKs","29/702","130/9232",9.72966185938911e-08,1.39890916067217e-05,1.09359123355239e-05,"23237/8061/5516/3727/1958/6464/1398/6196/5899/5515/5519/581/3398/673/9261/1785/6722/1386/6016/5879/5290/6774/5898/1848/5781/10221/5604/1846/2534",29,"Reactome"
"R-HSA-9013418","MEturquoise","R-HSA-9013418","RHOBTB2 GTPase cycle","11/702","23/9232",2.63560714299809e-07,3.41047564303953e-05,2.6661246993907e-05,"3326/3320/27316/11140/9352/6434/908/3183/29766/87/8452",11,"Reactome"
"R-HSA-975155","MEturquoise","R-HSA-975155","MyD88 dependent cascade initiated on endosome","24/702","102/9232",4.38563469371932e-07,5.15910117606619e-05,4.03310520637729e-05,"351/5516/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846/3665",24,"Reactome"
"R-HSA-168181","MEturquoise","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","24/702","103/9232",5.31543181087218e-07,5.73180730272384e-05,4.48081576337559e-05,"351/5516/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846/3665",24,"Reactome"
"R-HSA-5663202...26","MEturquoise","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","60/702","414/9232",6.90216159701742e-07,5.94727743510707e-05,4.64925861477092e-05,"23462/2260/54567/3280/5516/7525/3791/3320/4609/7414/5155/200734/8496/9451/10000/7450/57670/7314/6464/5718/11140/5500/1026/8878/5515/5519/5903/2804/2309/2243/5706/1452/673/7048/56829/5782/2308/5717/1051/5879/613/5290/8036/5501/6774/5700/6238/1848/5781/80824/2244/5604/5908/10013/1839/2266/102/7175/7415/2534",60,"Reactome"
"R-HSA-166058","MEturquoise","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","25/702","112/9232",7.35366607122976e-07,5.94727743510707e-05,4.64925861477092e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/2243/57162/9261/7334/1386/1848/4792/2244/5604/1846/2266",25,"Reactome"
"R-HSA-168188","MEturquoise","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","25/702","112/9232",7.35366607122976e-07,5.94727743510707e-05,4.64925861477092e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/2243/57162/9261/7334/1386/1848/4792/2244/5604/1846/2266",25,"Reactome"
"R-HSA-187037","MEturquoise","R-HSA-187037","Signaling by NTRK1 (TRKA)","25/702","112/9232",7.35366607122976e-07,5.94727743510707e-05,4.64925861477092e-05,"23237/8061/5516/3727/1958/6464/1398/6196/5899/5515/5519/3398/673/9261/1785/6722/1386/6016/5290/6774/5898/1848/10221/5604/1846",25,"Reactome"
"R-HSA-9706574...30","MEturquoise","R-HSA-9706574","RHOBTB GTPase Cycle","13/702","35/9232",7.81523299252649e-07,5.94877146607605e-05,4.65042656706994e-05,"3326/3320/27316/11140/5930/9475/9352/6434/908/3183/29766/87/8452",13,"Reactome"
"R-HSA-168179","MEturquoise","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","25/702","113/9232",8.77765390941339e-07,5.97804429409522e-05,4.67331047476247e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/2243/57162/9261/7334/1386/1848/4792/2244/5604/1846/2266",25,"Reactome"
"R-HSA-181438","MEturquoise","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","25/702","113/9232",8.77765390941339e-07,5.97804429409522e-05,4.67331047476247e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/2243/57162/9261/7334/1386/1848/4792/2244/5604/1846/2266",25,"Reactome"
"R-HSA-168138","MEturquoise","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","24/702","106/9232",9.30218910419149e-07,6.01851635041189e-05,4.70494933112001e-05,"351/5516/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846/3665",24,"Reactome"
"R-HSA-5683057...34","MEturquoise","R-HSA-5683057","MAPK family signaling cascades","47/702","300/9232",1.31033791153324e-06,8.07417741678099e-05,6.31195354878917e-05,"3337/2260/5516/4609/7414/5155/200734/10435/1847/7450/7314/3572/6464/5718/10602/5597/5500/3569/5515/5519/9693/3725/2309/2243/8682/5706/673/2308/5717/2674/5879/5290/8036/5501/5700/1848/3716/5781/80824/2244/8452/5604/1846/5908/1839/2266/2534",47,"Reactome"
"R-HSA-975138","MEturquoise","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","23/702","101/9232",1.40687726227507e-06,8.27499626083608e-05,6.46894281840354e-05,"351/5516/7314/3656/6196/4791/4790/92610/148022/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846",23,"Reactome"
"R-HSA-3371556...36","MEturquoise","R-HSA-3371556","Cellular response to heat stress","21/702","87/9232",1.47215244814486e-06,8.28245768651936e-05,6.47477575591402e-05,"9531/3337/10808/3305/3303/3304/3326/3320/3312/10049/23411/3313/5903/9261/6782/9818/4928/10013/3308/7175/7415",21,"Reactome"
"R-HSA-72203","MEturquoise","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","40/702","240/9232",1.69527398357439e-06,9.14035222810526e-05,7.14543113252189e-05,"9775/3312/27316/10286/6428/9589/3192/9939/5094/54883/7307/5903/6434/2521/10921/6628/10949/3183/6429/10482/1977/51585/1665/5725/9818/55696/4928/84991/3190/3178/84248/55660/4670/10569/9877/10772/6625/10914/7175/5093",40,"Reactome"
"R-HSA-168142","MEturquoise","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","22/702","96/9232",2.12572002602351e-06,0.00010187710050646,7.96419861601793e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846",22,"Reactome"
"R-HSA-168176","MEturquoise","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","22/702","96/9232",2.12572002602351e-06,0.00010187710050646,7.96419861601793e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846",22,"Reactome"
"R-HSA-975871","MEturquoise","R-HSA-975871","MyD88 cascade initiated on plasma membrane","22/702","96/9232",2.12572002602351e-06,0.00010187710050646,7.96419861601793e-05,"351/5516/7314/3656/6196/4791/4790/92610/5970/5515/5606/5519/3725/5599/57162/9261/7334/1386/1848/4792/5604/1846",22,"Reactome"
"R-HSA-112409","MEturquoise","R-HSA-112409","RAF-independent MAPK1/3 activation","10/702","23/9232",2.78895179721791e-06,0.000128889415199999,0.000100758747260392,"1847/3572/3569/8682/1848/3716/5781/80824/5604/1846",10,"Reactome"
"R-HSA-198725","MEturquoise","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","16/702","59/9232",5.21239709713796e-06,0.000226464916820191,0.000177037976949649,"23237/8061/5516/3727/1958/6196/5515/5519/3398/9261/1785/6722/1386/1848/10221/1846",16,"Reactome"
"R-HSA-913531...43","MEturquoise","R-HSA-913531","Interferon Signaling","32/702","181/9232",5.25034583045266e-06,0.000226464916820191,0.000177037976949649,"9775/3383/1958/7314/25820/4281/3659/7706/1974/1982/5903/9021/3840/10581/1977/7334/5371/3838/7341/3434/9818/5770/4928/8519/3716/5781/8638/3669/3665/1981/7175/3454",32,"Reactome"
"R-HSA-400253","MEturquoise","R-HSA-400253","Circadian Clock","17/702","66/9232",5.7178651422089e-06,0.000238674757871558,0.000186582967798396,"25819/1407/1408/7314/8204/5500/23411/4783/26224/1453/6095/1390/8553/1386/5501/85441/10135",17,"Reactome"
"R-HSA-3371453...45","MEturquoise","R-HSA-3371453","Regulation of HSF1-mediated heat shock response","17/702","68/9232",8.84387041375619e-06,0.000357624009856266,0.000279571035119069,"9531/3337/10808/3305/3303/3304/3312/10049/23411/3313/5903/9261/6782/9818/4928/3308/7175",17,"Reactome"
"R-HSA-450294","MEturquoise","R-HSA-450294","MAP kinase activation","16/702","63/9232",1.305537282153e-05,0.000510036112838323,0.00039871854261582,"5516/7314/3656/6196/4790/5515/5606/5519/3725/5599/9261/7334/1386/1848/5604/1846",16,"Reactome"
