"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"R-HSA-166658...1","MEcyan","R-HSA-166658","Complement cascade","18/173","51/9834",1.79526353385825e-19,5.18831161285034e-17,3.62832208948193e-17,"10584/10747/10877/10878/1361/1401/2220/3078/3080/4153/725/727/731/732/733/735/7448/81494",18,"Reactome"
"R-HSA-140877","MEcyan","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","13/173","36/9834",1.59705862885674e-14,2.30774971869799e-12,1.61386977231839e-12,"2153/2155/2158/2160/2161/2165/2243/2244/2266/3053/3827/462/5624",13,"Reactome"
"R-HSA-211859...3","MEcyan","R-HSA-211859","Biological oxidations","24/173","193/9834",3.17132066880566e-14,3.05503891094945e-12,2.13646866109013e-12,"10/124/126/127/13/1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/284541/4051/4143/64816/6822/7365/7366/7367/8529",24,"Reactome"
"R-HSA-211945...4","MEcyan","R-HSA-211945","Phase I - Functionalization of compounds","18/173","96/9834",4.45763111241706e-14,3.22063847872132e-12,2.25227677258967e-12,"124/126/127/13/1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/284541/4051/64816/8529",18,"Reactome"
"R-HSA-8957275...5","MEcyan","R-HSA-8957275","Post-translational protein phosphorylation","18/173","99/9834",7.83098155803872e-14,4.52630734054638e-12,3.16536517714407e-12,"116519/147111/197/213/2153/2243/2266/255738/3053/335/338/3698/3827/462/51156/5624/6694/7018",18,"Reactome"
"R-HSA-381426...6","MEcyan","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","19/173","115/9834",9.5484619514111e-14,4.59917583992968e-12,3.21632402573848e-12,"116519/147111/197/213/2153/2243/2266/255738/3053/335/338/3483/3698/3827/462/51156/5624/6694/7018",19,"Reactome"
"R-HSA-977606...7","MEcyan","R-HSA-977606","Regulation of Complement cascade","13/173","41/9834",1.1283804387455e-13,4.65859923996355e-12,3.25788036449827e-12,"10877/10878/1361/3078/3080/725/727/731/732/733/735/7448/81494",13,"Reactome"
"R-HSA-211981...8","MEcyan","R-HSA-211981","Xenobiotics","10/173","21/9834",6.52957245829003e-13,2.35880805055727e-11,1.64957619998906e-11,"1543/1544/1548/1549/1557/1559/1562/1571/1576/64816",10,"Reactome"
"R-HSA-211897...9","MEcyan","R-HSA-211897","Cytochrome P450 - arranged by substrate type","14/173","59/9834",1.07117652122442e-12,3.43966682926507e-11,2.40544903011799e-11,"1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/284541/4051/64816/8529",14,"Reactome"
"R-HSA-114608...10","MEcyan","R-HSA-114608","Platelet degranulation ","18/173","118/9834",1.83119437612026e-12,5.29215174698756e-11,3.70094021279042e-11,"1/197/213/2153/2243/2244/2266/3273/335/350/3699/3700/3827/5004/5005/5267/6694/7018",18,"Reactome"
